Window resized to 1280, 800
         25683851 function calls (25534927 primitive calls) in 24.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   300869    0.037    0.000    0.037    0.000 layout.py:1073(<lambda>)
   471020    0.037    0.000    0.037    0.000 motion.py:103(<lambda>)
     1535    0.036    0.000    0.044    0.000 {built-in method builtins.__build_class__}
     5538    0.035    0.000   22.479    0.004 base.py:248(idle)
    86/35    0.035    0.000    0.074    0.002 sre_parse.py:491(_parse)
    30855    0.035    0.000    0.084    0.000 vertexbuffer.py:311(bind)
       85    0.034    0.000    0.322    0.004 __init__.py:894(blit_to_texture)
34733/3159    0.033    0.000    0.120    0.000 efilter.py:125(insert)
   151640    0.032    0.000    0.032    0.000 box.py:27(x)
    20709    0.032    0.000    0.047    0.000 document.py:586(get_style_runs)
    35952    0.031    0.000    0.041    0.000 runlist.py:374(ranges)
   338229    0.031    0.000    0.031    0.000 {method 'discard' of 'set' objects}
   153194    0.031    0.000    0.031    0.000 box.py:35(y)
    17620    0.030    0.000    0.043    0.000 layout.py:299(__init__)
    17620    0.030    0.000    0.044    0.000 layout.py:229(add_box)
       85    0.030    0.000    0.042    0.000 __init__.py:1072(_ensure_string_data)
    12773    0.029    0.000    0.029    0.000 vertexattribute.py:511(set_pointer)
     3159    0.029    0.000    0.336    0.000 world.py:39(add_entity)
      729    0.028    0.000    0.028    0.000 {built-in method nt.stat}
    51065    0.028    0.000    0.268    0.000 sprite.py:531(_set_opacity)
   147764    0.028    0.000    0.028    0.000 runlist.py:418(ranges)
    30855    0.028    0.000    0.072    0.000 vertexbuffer.py:314(unbind)
5820/1164    0.027    0.000    0.071    0.000 debug.py:12(format_stats)
13142/12646    0.026    0.000    0.028    0.000 {method 'format' of 'str' objects}
    20433    0.026    0.000    0.120    0.000 vertexdomain.py:267(create)
342114/342065    0.026    0.000    0.026    0.000 {built-in method builtins.len}
     5538    0.025    0.000   21.949    0.004 clock.py:279(call_scheduled_functions)
      170    0.025    0.000    0.025    0.000 __init__.py:47(create_string_buffer)
     8148    0.025    0.000    0.854    0.000 __init__.py:547(draw)
     1523    0.025    0.000    2.317    0.002 layout.py:1006(_get_glyphs)
32343/3073    0.024    0.000    0.026    0.000 efilter.py:132(remove)
        1    0.024    0.024   23.258   23.258 base.py:153(_run_estimated)
5351/5348    0.024    0.000    7.856    0.001 event.py:318(dispatch_event)
     2328    0.024    0.000    0.024    0.000 camera.py:54(apply_matrix)
    31574    0.024    0.000    0.083    0.000 efilter.py:73(<lambda>)
     1492    0.024    0.000    0.024    0.000 win32.py:223(flip)
76198/40936    0.024    0.000    0.040    0.000 {built-in method builtins.hash}
    35230    0.024    0.000    0.024    0.000 layout.py:684(__eq__)
    10285    0.022    0.000    0.022    0.000 vertexattribute.py:387(set_pointer)
    10285    0.022    0.000    0.022    0.000 vertexattribute.py:469(set_pointer)
      145    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
   103279    0.021    0.000    0.070    0.000 {built-in method builtins.getattr}
     2488    0.021    0.000    0.031    0.000 vertexbuffer.py:242(__init__)
     2710    0.020    0.000    0.139    0.000 __main__.py:244(make_particle)
     1092    0.019    0.000    0.019    0.000 __init__.py:630(_get_modifiers)
     1164    0.019    0.000    0.082    0.000 camera.py:79(m_draw)
    19143    0.019    0.000    0.019    0.000 runlist.py:393(<listcomp>)
     1164    0.019    0.000    0.259    0.000 world.py:25(refresh_entities)
    35254    0.019    0.000    0.058    0.000 layout.py:681(__hash__)
     2692    0.019    0.000    7.810    0.003 layout.py:976(_init_document)
    48922    0.018    0.000    0.055    0.000 behaviour.py:13(can_handle_message)
     1164    0.018    0.000    0.018    0.000 world.py:30(<listcomp>)
60476/58953    0.018    0.000    0.031    0.000 {built-in method builtins.next}
    11081    0.018    0.000    0.039    0.000 weakref.py:416(keys)
    12773    0.017    0.000    0.017    0.000 vertexattribute.py:508(enable)
    63148    0.017    0.000    0.049    0.000 efilter.py:73(<genexpr>)
     5538    0.017    0.000    0.031    0.000 queue.py:147(get)
     3046    0.017    0.000    0.046    0.000 document.py:608(get_font)
    32795    0.017    0.000    0.017    0.000 sre_parse.py:226(__next)
    25256    0.016    0.000    0.030    0.000 efilter.py:58(<lambda>)
    35277    0.016    0.000    0.021    0.000 __init__.py:736(__hash__)
     1164    0.016    0.000    0.016    0.000 world.py:31(<listcomp>)
   155132    0.016    0.000    0.016    0.000 world.py:37(<lambda>)
     5538    0.016    0.000    0.022    0.000 clock.py:254(update_time)
    20346    0.016    0.000    0.069    0.000 vertexdomain.py:397(delete)
       85    0.016    0.000    0.016    0.000 {method 'join' of 'bytes' objects}
    11081    0.016    0.000    0.055    0.000 __init__.py:103(__iter__)
     3073    0.016    0.000    0.050    0.000 image.py:46(m_dead_entity)
     2547    0.016    0.000    0.104    0.000 lib_wgl.py:98(link_GL)
     4656    0.016    0.000    0.024    0.000 debug.py:6(indent)
    20433    0.015    0.000    0.078    0.000 vertexdomain.py:243(_safe_alloc)
    20433    0.015    0.000    0.015    0.000 vertexdomain.py:338(__init__)
     7964    0.014    0.000    0.014    0.000 sprite.py:150(unset_state)
    65118    0.014    0.000    0.014    0.000 {built-in method _ctypes.POINTER}
     1164    0.014    0.000   21.770    0.019 main.py:114(update)
    19143    0.014    0.000    0.031    0.000 runlist.py:394(<listcomp>)
    21274    0.014    0.000    0.014    0.000 layout.py:221(__init__)
     1523    0.013    0.000    4.484    0.003 layout.py:885(_get_lines)
     3048    0.013    0.000    0.023    0.000 __init__.py:592(load)
     2321    0.013    0.000    0.013    0.000 layout.py:526(set_state)
    22797    0.013    0.000    1.854    0.000 layout.py:1030(_flow_glyphs)
    10285    0.012    0.000    0.012    0.000 vertexattribute.py:384(enable)
   122/34    0.012    0.000    0.016    0.000 sre_compile.py:64(_compile)
     3159    0.012    0.000    0.089    0.000 entity.py:27(__init__)
    35584    0.012    0.000    0.021    0.000 world.py:74(register_message_type)
   184/98    0.012    0.000    0.012    0.000 sre_parse.py:167(getwidth)
    10285    0.012    0.000    0.012    0.000 vertexattribute.py:466(enable)
     2521    0.012    0.000    0.050    0.000 vertexbuffer.py:92(create_mappable_buffer)
     2813    0.012    0.000    0.196    0.000 sprite.py:376(_create_vertex_list)
