Window resized to 1280, 800
         25683851 function calls (25534927 primitive calls) in 24.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:745(exec_module)
      145    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:416(_validate_bytecode_header)
     1356    0.001    0.000    0.002    0.000 __init__.py:32(__sub__)
     1166    0.001    0.000    0.002    0.000 main.py:27(get_mouse_position)
        1    0.001    0.001    0.002    0.002 vertexbuffer.py:45(<module>)
       24    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1044(_path_hooks)
    10842    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
     4088    0.001    0.000    0.001    0.000 layout.py:1411(<lambda>)
        1    0.001    0.001    0.004    0.004 __init__.py:36(<module>)
     3381    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     1492    0.001    0.000    0.001    0.000 __init__.py:757(draw_mouse_cursor)
     2200    0.001    0.000    0.001    0.000 lib_wgl.py:72(__init__)
     2779    0.001    0.000    0.002    0.000 behaviour.py:18(kill)
     1164    0.001    0.000    0.075    0.000 __init__.py:564(draw)
     2882    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
     3250    0.001    0.000    0.001    0.000 {built-in method math.sin}
      145    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:726(get_code)
     2741    0.001    0.000    0.001    0.000 sprite.py:241(__del__)
     1164    0.001    0.000    0.002    0.000 message.py:29(draw)
     5111    0.001    0.000    0.001    0.000 {built-in method _ctypes.byref}
     1164    0.001    0.000    0.001    0.000 debug.py:157(m_mouse_move_raw)
      134    0.001    0.000    0.019    0.000 __init__.py:657(_event_key)
    11184    0.001    0.000    0.001    0.000 message.py:206(name)
    172/6    0.001    0.000    0.662    0.110 <frozen importlib._bootstrap>:966(_find_and_load)
      272    0.001    0.000    0.297    0.001 world.py:48(add_entities)
     2329    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
     1164    0.001    0.000    0.002    0.000 message.py:23(tick)
     9642    0.001    0.000    0.001    0.000 box.py:95(name)
     1342    0.001    0.000    0.070    0.000 layout.py:990(on_delete_text)
        9    0.001    0.000    0.001    0.000 win32.py:303(_create_bitmap)
      290    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
     1164    0.001    0.000    0.001    0.000 message.py:117(__init__)
      110    0.001    0.000    0.105    0.001 re.py:278(_compile)
     1523    0.001    0.000    0.001    0.000 layout.py:928(_get_left)
     5540    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     3046    0.001    0.000    0.001    0.000 runlist.py:389(__init__)
     1164    0.001    0.000    0.005    0.000 sorteddict.py:168(__iter__)
    10476    0.001    0.000    0.001    0.000 message.py:86(name)
     9627    0.001    0.000    0.001    0.000 image.py:43(name)
     5423    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2997    0.001    0.000    0.001    0.000 __init__.py:842(<lambda>)
     1164    0.001    0.000    0.001    0.000 message.py:82(__init__)
     1164    0.001    0.000    0.001    0.000 __main__.py:74(m_mouse_move)
     1523    0.001    0.000    0.001    0.000 runlist.py:188(<listcomp>)
      290    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
     9618    0.001    0.000    0.001    0.000 velocity.py:6(name)
     5820    0.001    0.000    0.001    0.000 image.py:108(<lambda>)
     8148    0.001    0.000    0.001    0.000 message.py:121(name)
      274    0.001    0.000    0.001    0.000 compat.py:71(asbytes)
      157    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1098(_get_spec)
     1166    0.001    0.000    0.001    0.000 {built-in method time.time}
     3045    0.001    0.000    0.001    0.000 layout.py:865(_get_document)
      164    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
      180    0.001    0.000    0.068    0.000 __init__.py:436(_update_wrap)
     1164    0.001    0.000    0.014    0.000 camera.py:110(m_camera_apply_matrix)
     8678    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     5543    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
     3876    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6518    0.001    0.000    0.001    0.000 behaviour.py:25(name)
    164/6    0.001    0.000    0.659    0.110 <frozen importlib._bootstrap>:659(_load_unlocked)
     1342    0.001    0.000    7.729    0.006 layout.py:982(on_insert_text)
     9477    0.001    0.000    0.001    0.000 box.py:98(attribute_name)
     5828    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     1166    0.001    0.000    0.001    0.000 main.py:32(get_camera_zoom)
     1523    0.001    0.000    0.002    0.000 runlist.py:291(__next__)
     9453    0.001    0.000    0.001    0.000 velocity.py:9(attribute_name)
        8    0.001    0.000    0.001    0.000 {built-in method io.open}
    145/6    0.001    0.000    0.658    0.110 <frozen importlib._bootstrap_external>:656(exec_module)
        1    0.001    0.001    0.001    0.001 winkey.py:36(<module>)
      100    0.001    0.000    0.006    0.000 __main__.py:179(make_monster)
     3606    0.001    0.000    0.001    0.000 clock.py:339(<lambda>)
     1700    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:363(_verbose_message)
      271    0.001    0.000    0.141    0.001 __main__.py:253(make_particle_burst)
     1278    0.001    0.000    0.001    0.000 compat.py:85(asstr)
    172/6    0.001    0.000    0.661    0.110 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
     4903    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        1    0.001    0.001    0.572    0.572 resource.py:41(load)
        3    0.001    0.000    0.001    0.000 __init__.py:1533(create_for_size)
      184    0.001    0.000    0.059    0.000 layout.py:818(end_update)
      157    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:595(_search_registry)
      344    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     3250    0.001    0.000    0.001    0.000 {built-in method math.radians}
     4642    0.001    0.000    0.001    0.000 __init__.py:623(unset_state)
        1    0.001    0.001    0.012    0.012 gl.py:38(<module>)
        7    0.001    0.000    0.001    0.000 com.py:124(<lambda>)
      164    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(__exit__)
       24    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1257(_fill_cache)
      729    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     1278    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
       43    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5E119820}
        1    0.001    0.001    0.001    0.001 win32.py:217(detach)
      956    0.001    0.000    0.001    0.000 main.py:107(on_mouse_drag)
      165    0.000    0.000    0.002    0.000 box.py:101(__str__)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
     3590    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:253(SolidColorImagePattern)
      184    0.000    0.000    0.008    0.000 __init__.py:395(_update_layout_halign)
        7    0.000    0.000    0.155    0.022 gdiplus.py:274(decode)
      157    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:588(_open_registry)
     2566    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
     3159    0.000    0.000    0.000    0.000 efilter.py:67(<lambda>)
      356    0.000    0.000    0.000    0.000 layout.py:1310(<listcomp>)
      290    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
     2206    0.000    0.000    0.000    0.000 gl_info.py:202(have_context)
        3    0.000    0.000    0.597    0.199 __init__.py:4(<module>)
     1164    0.000    0.000    0.000    0.000 {built-in method from_iterable}
       16    0.000    0.000    0.001    0.000 win32.py:158(__init__)
       33    0.000    0.000    0.002    0.000 vertexbuffer.py:381(__init__)
     3092    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.001    0.000 win32.py:193(attach)
     1067    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1164    0.000    0.000    0.000    0.000 __init__.py:137(m_mouse_move_raw)
     1504    0.000    0.000    0.000    0.000 {built-in method math.degrees}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 wgl_info.py:37(<module>)
        1    0.000    0.000    0.007    0.007 wglext_arb.py:38(<module>)
      227    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
       85    0.000    0.000    0.001    0.000 __init__.py:1750(__init__)
      403    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1061(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 gdiplus.py:330(init)
     3160    0.000    0.000    0.000    0.000 base.py:13(attribute_name)
      178    0.000    0.000    0.144    0.001 __init__.py:492(_set_text)
      164    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1207(_get_spec)
     1589    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      145    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:471(_compile_bytecode)
        4    0.000    0.000    0.000    0.000 __init__.py:377(set_mouse_platform_visible)
      178    0.000    0.000    0.000    0.000 clock.py:480(get_fps)
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:163(__enter__)
       78    0.000    0.000    0.012    0.000 base.py:222(fit)
       33    0.000    0.000    0.002    0.000 vertexbuffer.py:293(__init__)
      511    0.000    0.000    0.000    0.000 __init__.py:126(WinFunctionType)
        1    0.000    0.000    0.000    0.000 constants.py:39(<module>)
     1492    0.000    0.000    0.000    0.000 main.py:76(on_draw)
      170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
       78    0.000    0.000    0.000    0.000 __init__.py:278(create_unicode_buffer)
        1    0.000    0.000    0.000    0.000 key.py:61(<module>)
       12    0.000    0.000    0.007    0.001 __init__.py:340(namedtuple)
      151    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:339(_get_cached)
       78    0.000    0.000    0.011    0.000 __init__.py:1671(blit_into)
       34    0.000    0.000    0.012    0.000 sre_compile.py:412(_compile_info)
      271    0.000    0.000    0.000    0.000 xy.py:29(__iter__)
       85    0.000    0.000    0.000    0.000 __init__.py:627(__init__)
      641    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
      101    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
      180    0.000    0.000    0.000    0.000 layout.py:1487(_set_multiline)
        1    0.000    0.000   24.499   24.499 __main__.py:1(<module>)
    73/34    0.000    0.000    0.075    0.002 sre_parse.py:429(_parse_sub)
       34    0.000    0.000    0.104    0.003 sre_compile.py:531(compile)
      145    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
       34    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      500    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
      296    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:406(cached)
        3    0.000    0.000    0.000    0.000 win32.py:229(__init__)
      641    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       34    0.000    0.000    0.002    0.000 main.py:80(on_key_press)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      360    0.000    0.000    0.000    0.000 sre_parse.py:157(__getitem__)
      168    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       59    0.000    0.000    0.001    0.000 lib_wgl.py:126(link_GLU)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
        5    0.000    0.000    0.001    0.000 enum.py:88(__new__)
      165    0.000    0.000    0.001    0.000 xy.py:51(__str__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        3    0.000    0.000    0.000    0.000 clock.py:511(_schedule_item)
       11    0.000    0.000    0.003    0.000 vertexdomain.py:158(__init__)
       16    0.000    0.000    0.001    0.000 abc.py:132(__new__)
      165    0.000    0.000    0.001    0.000 image.py:46(__str__)
        2    0.000    0.000    0.000    0.000 __init__.py:277(_update_view_location)
      540    0.000    0.000    0.000    0.000 compat.py:75(<genexpr>)
        1    0.000    0.000    0.000    0.000 gl_info.py:56(<module>)
       95    0.000    0.000    0.000    0.000 __init__.py:1419(__init__)
      356    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      145    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
    40/17    0.000    0.000    0.131    0.008 {built-in method builtins.__import__}
       34    0.000    0.000    0.075    0.002 sre_parse.py:819(parse)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       85    0.000    0.000    0.000    0.000 __init__.py:1078(_get_gl_format_and_type)
        3    0.000    0.000    0.000    0.000 win32.py:244(get_logfont)
      131    0.000    0.000    0.000    0.000 __main__.py:108(m_collision)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
    214/6    0.000    0.000    0.657    0.110 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1175(__init__)
        1    0.000    0.000    0.001    0.001 wgl.py:38(<module>)
       66    0.000    0.000    0.000    0.000 __init__.py:108(m_key_release)
      291    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      180    0.000    0.000    0.000    0.000 __init__.py:318(__init__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
      203    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       68    0.000    0.000    0.000    0.000 __init__.py:98(m_key_press)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
        5    0.000    0.000    0.548    0.110 __init__.py:1(<module>)
      157    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1130(find_spec)
       33    0.000    0.000    0.002    0.000 main.py:85(on_key_release)
        1    0.000    0.000    0.001    0.001 glu.py:38(<module>)
       78    0.000    0.000    0.013    0.000 base.py:321(create_glyph)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:379(_check_name_wrapper)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
       34    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
      180    0.000    0.000    0.000    0.000 __init__.py:489(_get_text)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        1    0.000    0.000    0.000    0.000 win32.py:136(_set_pixel_format)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      157    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:610(find_spec)
        1    0.000    0.000    0.011    0.011 shutil.py:5(<module>)
      200    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 win32.py:185(_set_pixel_format)
       60    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       85    0.000    0.000    0.223    0.003 re.py:205(findall)
      101    0.000    0.000    0.000    0.000 acceleration.py:13(__init__)
        3    0.000    0.000    0.000    0.000 layout.py:1430(_set_y)
        1    0.000    0.000    0.000    0.000 glu_info.py:57(<module>)
    18/12    0.000    0.000    0.000    0.000 __init__.py:475(visit)
      183    0.000    0.000    0.000    0.000 layout.py:793(_wrap_lines_invariant)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1286(<setcomp>)
       85    0.000    0.000    0.001    0.000 __init__.py:1675(get_region)
        2    0.000    0.000    0.512    0.256 camera.py:1(<module>)
      165    0.000    0.000    0.000    0.000 {built-in method builtins.hex}
      321    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
       47    0.000    0.000    0.000    0.000 enum.py:295(__setattr__)
        1    0.000    0.000    0.009    0.009 win32.py:77(_get_arb_pixel_format_matching_configs)
        2    0.000    0.000    0.304    0.152 win32.py:31(get_matching_configs)
       13    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
      184    0.000    0.000    0.000    0.000 layout.py:804(begin_update)
      150    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       14    0.000    0.000    0.000    0.000 resource.py:35(process_anchor)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
        1    0.000    0.000    0.013    0.013 Image.py:27(<module>)
       40    0.000    0.000    0.002    0.000 sre_compile.py:221(_compile_charset)
      157    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      122    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       34    0.000    0.000    0.000    0.000 message.py:38(__init__)
      171    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
       33    0.000    0.000    0.000    0.000 vertexdomain.py:91(create_attribute_usage)
        1    0.000    0.000    0.010    0.010 inspect.py:27(<module>)
       16    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
      464    0.000    0.000    0.000    0.000 acceleration.py:22(name)
        2    0.000    0.000    0.367    0.184 __init__.py:415(__init__)
       34    0.000    0.000    0.028    0.001 sre_compile.py:516(_code)
      641    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      356    0.000    0.000    0.000    0.000 layout.py:1299(<lambda>)
       78    0.000    0.000    0.011    0.000 __init__.py:1782(blit_into)
        1    0.000    0.000    0.001    0.001 win32.py:100(<listcomp>)
       49    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       86    0.000    0.000    0.000    0.000 gl_info.py:113(have_extension)
      309    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.367    0.184 __init__.py:116(__init__)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       78    0.000    0.000    0.000    0.000 base.py:159(set_bearings)
       12    0.000    0.000    0.000    0.000 event.py:195(_get_handlers)
       38    0.000    0.000    0.000    0.000 enum.py:51(__setitem__)
        1    0.000    0.000    0.001    0.001 png.py:183(<module>)
       39    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        9    0.000    0.000    0.001    0.000 win32.py:94(__init__)
        2    0.000    0.000    0.002    0.001 __init__.py:787(_event_mousebutton)
      418    0.000    0.000    0.000    0.000 lib.py:123(decorate_function)
       78    0.000    0.000    0.000    0.000 {built-in method math.ceil}
      574    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1298(path_hook_for_FileFinder)
        2    0.000    0.000    0.000    0.000 __init__.py:373(set_caption)
        1    0.000    0.000   23.283   23.283 main.py:37(run)
        1    0.000    0.000    0.002    0.002 types.py:36(<module>)
       14    0.000    0.000    0.000    0.000 sre_parse.py:260(getuntil)
        2    0.000    0.000    0.000    0.000 win32.py:11(get_screens)
      184    0.000    0.000    0.000    0.000 __init__.py:411(_get_x)
       84    0.000    0.000    0.000    0.000 layout.py:1436(<lambda>)
        1    0.000    0.000    0.000    0.000 win32.py:105(__init__)
       33    0.000    0.000    0.000    0.000 message.py:48(__init__)
       13    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
        2    0.000    0.000    0.000    0.000 __init__.py:257(__init__)
       68    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        2    0.000    0.000    0.000    0.000 __init__.py:350(activate)
        1    0.000    0.000    0.001    0.001 win32.py:238(attach)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
        1    0.000    0.000    0.006    0.006 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 win32query.py:73(<module>)
       34    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
       78    0.000    0.000    0.000    0.000 base.py:352(_adapt_texture_size)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
       47    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       17    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       67    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        7    0.000    0.000    0.000    0.000 genericpath.py:111(_splitext)
        1    0.000    0.000    0.003    0.003 random.py:37(<module>)
      131    0.000    0.000    0.000    0.000 message.py:173(__contains__)
       34    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:124(get_decoders)
      184    0.000    0.000    0.000    0.000 layout.py:1492(_get_multiline)
        2    0.000    0.000    0.001    0.001 clock.py:881(__init__)
       17    0.000    0.000    0.000    0.000 efilter.py:61(parse_rules)
        1    0.000    0.000    0.001    0.001 lib_wgl.py:36(<module>)
       17    0.000    0.000    0.000    0.000 efilter.py:82(__init__)
       10    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
      342    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.001    0.000 __init__.py:304(__init__)
        1    0.000    0.000    0.354    0.354 __init__.py:123(<module>)
        1    0.000    0.000    0.000    0.000 win32query.py:233(FONTSIGNATURE)
        3    0.000    0.000    0.002    0.001 base.py:4(<module>)
        1    0.000    0.000    0.013    0.013 zipfile.py:5(<module>)
        2    0.000    0.000    0.012    0.006 __init__.py:38(<module>)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       34    0.000    0.000    0.000    0.000 debug.py:105(m_key_press)
        1    0.000    0.000    0.000    0.000 bmp.py:39(<module>)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(<genexpr>)
       27    0.000    0.000    0.000    0.000 vertexdomain.py:80(_nearest_pow2)
        7    0.000    0.000    0.155    0.022 __init__.py:156(load)
        2    0.000    0.000    0.000    0.000 __init__.py:420(set_exclusive_mouse)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
       28    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
        1    0.000    0.000    0.000    0.000 __init__.py:224(_read_environment)
      164    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
      138    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
        2    0.000    0.000    0.038    0.019 __init__.py:74(<module>)
    19/11    0.000    0.000    0.000    0.000 __init__.py:458(_add_group)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       69    0.000    0.000    0.000    0.000 __init__.py:405(<genexpr>)
        9    0.000    0.000    0.000    0.000 __init__.py:470(_update_draw_list)
        1    0.000    0.000    0.000    0.000 win32.py:49(__init__)
        1    0.000    0.000    0.003    0.003 subprocess.py:356(<module>)
      537    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       69    0.000    0.000    0.000    0.000 __init__.py:403(<genexpr>)
      272    0.000    0.000    0.000    0.000 message.py:42(name)
        1    0.000    0.000    0.000    0.000 wintypes.py:155(WIN32_FIND_DATAW)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       42    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
        1    0.000    0.000    0.000    0.000 __init__.py:94(Win32Window)
       26    0.000    0.000    0.000    0.000 sre_parse.py:312(_class_escape)
       34    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      131    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
        6    0.000    0.000    0.000    0.000 threading.py:213(__init__)
       17    0.000    0.000    0.000    0.000 efilter.py:76(hash_rules)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        3    0.000    0.000    0.009    0.003 layout.py:739(__init__)
        1    0.000    0.000    0.000    0.000 com.py:78(GUID)
       20    0.000    0.000    0.000    0.000 __init__.py:1375(_nearest_pow2)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
      264    0.000    0.000    0.000    0.000 message.py:52(name)
      100    0.000    0.000    0.000    0.000 __main__.py:90(__init__)
        1    0.000    0.000    0.045    0.045 debug.py:28(__init__)
        1    0.000    0.000    0.000    0.000 types.py:192(BITMAPINFO)
        1    0.000    0.000    0.000    0.000 layout.py:694(TextLayout)
        3    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       23    0.000    0.000    0.000    0.000 os.py:678(__getitem__)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        9    0.000    0.000    0.000    0.000 efilter.py:115(chain)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:569(_client_to_window_size)
        7    0.000    0.000    0.000    0.000 com.py:107(get_field)
      114    0.000    0.000    0.000    0.000 opcode.py:41(def_op)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:808(get_filename)
        5    0.000    0.000    0.000    0.000 __init__.py:146(add_decoders)
        1    0.000    0.000    0.000    0.000 __init__.py:707(on_resize)
       86    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       34    0.000    0.000    0.000    0.000 box.py:75(bottom)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       34    0.000    0.000    0.000    0.000 sre_parse.py:90(closegroup)
        8    0.000    0.000    0.002    0.000 __init__.py:331(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:332(notify)
       34    0.000    0.000    0.009    0.000 __init__.py:731(on_key_press)
        1    0.000    0.000    0.001    0.001 wintypes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:267(BaseWindow)
        1    0.000    0.000    0.039    0.039 __init__.py:174(add_default_image_codecs)
        1    0.000    0.000    0.000    0.000 Image.py:482(Image)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 sprite.py:170(Sprite)
       17    0.000    0.000    0.000    0.000 base.py:177(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
        1    0.000    0.000    0.001    0.001 __init__.py:601(dispatch_pending_events)
      303    0.000    0.000    0.000    0.000 acceleration.py:25(attribute_name)
        7    0.000    0.000    0.002    0.000 __init__.py:414(__getattr__)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
       49    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        5    0.000    0.000    0.000    0.000 __init__.py:162(add_encoders)
        2    0.000    0.000    0.000    0.000 __init__.py:457(set_exclusive_keyboard)
        5    0.000    0.000    0.000    0.000 enum.py:400(_find_new_)
        8    0.000    0.000    0.000    0.000 event.py:423(event)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        3    0.000    0.000    0.000    0.000 layout.py:856(_init_groups)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
       16    0.000    0.000    0.000    0.000 efilter.py:38(parse_rule)
       11    0.000    0.000    0.003    0.000 vertexdomain.py:125(create_domain)
        1    0.000    0.000   23.260   23.260 base.py:119(run)
